FID,SLN,ELEM_DESC,MID_SLN,MIDDLE,HIGH_SLN,HIGH,Shape_Leng,Shape_Area,Shape__Area,Shape__Length,matched_campus,zone_match_score,zone_match_method,Campus,school_students,percent_economically_disadvantaged,ses_score,academic_score,expected_academic_score,academic_residual,standardized_disparity,disparity_magnitude,pattern,matched_budget_org,budget_match_score,budget_match_method,budget_students,total_budget,budget_per_student,budget_normalized,ses_normalized,academic_normalized,disparity_normalized,budget_ses_score,budget_academic_score,budget_disparity_score,budget_per_student_display,total_budget_display,percent_ed_display,ses_score_display,academic_score_display,expected_academic_display,standardized_disparity_display,budget_ses_display,budget_academic_display,budget_disparity_display
44,153,Hexter Elementary School,50,Hill,1,Adams,,11070966.565298138,11070966.57421875,17117.969999009376,VICTOR H HEXTER EL,110.0,automatic,VICTOR H HEXTER EL,447,49.9,50.1,83.0,83.00147175552122,-0.0014717555212229172,-0.0001876652656029452,0.0001876652656029452,higher SES; academics near expected,HEXTER ELEMENTARY,110.0,fuzzy match,447.0,3839143.0,8588.686801,0.18347761038310834,0.5318471337579618,0.7317073170731707,0.0,0.3576623720705351,0.45759246372813955,0.09173880519155417,8588.69,3839143.0,49.9,50.1,83.0,83.0,-0.0,0.358,0.458,0.092
45,284,Highland Meadows Elementary School,83,Tasby,28,Conrad,,4284337.436976293,4284337.44140625,10221.155894004072,PERSONALIZED LEARNING ACADEMY AT HIGHLAND MEADOWS,110.0,automatic,PERSONALIZED LEARNING ACADEMY AT HIGHLAND MEADOWS,711,84.2,15.799999999999997,59.0,80.9836323149726,-21.983632314972596,-2.8031586345800084,2.8031586345800084,higher SES; academics lower than expected,PERSONALIZED LEARNING ACADEMY AT HIGHLAND MEADOWS,100.0,exact normalized name,711.0,4127756.0,5805.563994,0.06636042560167472,0.16772823779193202,0.14634146341463414,0.8017594626720945,0.11704433169680337,0.10635094450815444,0.43405994413688465,5805.56,4127756.0,84.2,15.8,59.0,80.98,-2.8,0.117,0.106,0.434
46,157,Hogg Elementary School,77,Garcia,2,Adamson,,3019482.944627233,3019482.9921875,9864.167396460516,HOGG NEW TECH CENTER,110.0,automatic,HOGG NEW TECH CENTER,306,96.1,3.9000000000000057,87.0,80.28356557029247,6.716434429707533,0.8564203992987224,0.8564203992987224,lower SES; academics higher than expected,HOGG NEW TECH CENTER,100.0,exact normalized name,306.0,2906443.0,9498.179739,0.2217501767999574,0.04140127388535038,0.8292682926829268,0.24491609234488984,0.13157572534265388,0.5255092347414421,0.2333331345724236,9498.18,2906443.0,96.1,3.9,87.0,80.28,0.86,0.132,0.526,0.233
47,178,Holland at Lisbon Elementary School,60,Storey,16,SOC,,3329872.9382640887,3329872.89453125,7498.1220871263595,H I HOLLAND EL AT LISBON,110.0,automatic,H I HOLLAND EL AT LISBON,392,99.0,1.0,84.0,80.11296106948805,3.887038930511949,0.49564087430593445,0.49564087430593445,lower SES; academics near expected,H I HOLLAND ELEMENTARY AT LISBON,100.0,exact normalized name,392.0,3077184.0,7849.959184,0.15239105588190877,0.010615711252653927,0.7560975609756098,0.14171901992852354,0.08150338356728135,0.4542443084287593,0.14705503790521615,7849.96,3077184.0,99.0,1.0,84.0,80.11,0.5,0.082,0.454,0.147
48,158,Hooe Elementary School,49,Greiner,18,Sunset,,1686203.8923377872,1686203.88671875,5995.339853443571,LIDA HOOE EL,110.0,automatic,LIDA HOOE EL,389,93.8,6.200000000000003,53.0,80.41887258817181,-27.41887258817181,-3.4962124704767525,3.4962124704767525,lower SES; academics lower than expected,HOOE ELEMENTARY,110.0,fuzzy match,389.0,2841754.0,7305.280206,0.1294703035699579,0.06581740976645438,0.0,1.0,0.09764385666820613,0.06473515178497895,0.5647351517849789,7305.28,2841754.0,93.8,6.2,53.0,80.42,-3.5,0.098,0.065,0.565
49,159,Hotchkiss Elementary School,83,Tasby,28,Conrad,,5617449.224396722,5617449.19140625,14063.001651404427,L L HOTCHKISS EL,110.0,automatic,L L HOTCHKISS EL,500,89.6,10.400000000000006,65.0,80.66595496864716,-15.665954968647156,-1.9975842167536546,1.9975842167536546,higher SES; academics lower than expected,HOTCHKISS ELEMENTARY,110.0,fuzzy match,500.0,4614663.0,9229.326,0.21043648523361816,0.11040339702760091,0.2926829268292683,0.5713336325619734,0.16041994113060953,0.25155970603144323,0.3908850588977958,9229.33,4614663.0,89.6,10.4,65.0,80.67,-2.0,0.16,0.252,0.391
50,161,Mendez Elementary School,52,Piedmont,14,Samuell,,7650033.953510286,7650033.91015625,13895.799983102177,JOHN IRELAND EL,100.0,manual alias,JOHN IRELAND EL,476,96.0,4.0,80.0,80.28944848411331,-0.2894484841133078,-0.03690791430111874,0.03690791430111874,lower SES; academics near expected,,52.63157894736842,unmatched,,,,,0.04246284501061571,0.6585365853658537,0.010503429203585985,,,,,,96.0,4.0,80.0,80.29,-0.04,,,
51,162,Mockingbird Elementary School,53,Long,22,Wilson,,8891877.95708137,8891877.921875,15844.52336592228,MOCKINGBIRD EL,110.0,automatic,MOCKINGBIRD EL,657,19.5,80.5,86.0,84.78987755705704,1.2101224429429607,0.1543041261895688,0.1543041261895688,higher SES; academics near expected,MOCKINGBIRD ELEMENTARY SCHOOL,100.0,exact normalized name,657.0,4511939.0,6867.487062,0.11104743684882984,0.8545647558386411,0.8048780487804879,0.04408334308562141,0.4828060963437355,0.4579627428146589,0.07756538996722562,6867.49,4511939.0,19.5,80.5,86.0,84.79,0.15,0.483,0.458,0.078
52,101,John Adams Elementary School,46,Young Men's Leadership,14,Samuell,,4416776.211073439,4416776.2109375,10062.085934709277,JOHN Q ADAMS EL,110.0,automatic,JOHN Q ADAMS EL,502,92.6,7.400000000000006,75.0,80.48946755402191,-5.489467554021914,-0.6999684198149085,0.6999684198149085,higher SES; academics near expected,J Q ADAMS ELEMENTARY,87.5,fuzzy match,502.0,3004060.0,5984.183267,0.0738769413475307,0.07855626326963912,0.5365853658536586,0.20016469949132437,0.0762166023085849,0.3052311536005946,0.13702082041942754,5984.18,3004060.0,92.6,7.4,75.0,80.49,-0.7,0.076,0.305,0.137
53,163,Cedar Crest Elementary School,51,Lewis,13,Roosevelt,,13331987.590456374,13331987.61328125,19275.049887865087,CEDAR CREST EL,110.0,automatic,CEDAR CREST EL,365,98.9,1.0999999999999943,69.0,80.11884398330889,-11.118843983308892,-1.4177767837361663,1.4177767837361663,lower SES; academics lower than expected,CEDAR CREST ELEMENTARY SCHOOL,100.0,exact normalized name,365.0,4021717.0,11018.40274,0.2857230053324579,0.01167728237791926,0.3902439024390244,0.4054860012313171,0.1487001438551886,0.33798345388574114,0.3456045032818875,11018.4,4021717.0,98.9,1.1,69.0,80.12,-1.42,0.149,0.338,0.346
54,164,Jones Elementary School,68,Quintanilla,18,Sunset,,1424321.957736304,1424321.95703125,5646.453700479467,ANSON JONES EL,110.0,automatic,ANSON JONES EL,508,96.1,3.9000000000000057,79.0,80.28356557029247,-1.2835655702924669,-0.1636689451435372,0.1636689451435372,lower SES; academics near expected,JONES ELEMENTARY,110.0,fuzzy match,508.0,4069653.0,8011.127953,0.15917323324486735,0.04140127388535038,0.6341463414634146,0.0467620480364585,0.10028725356510887,0.396659787354141,0.10296764064066292,8011.13,4069653.0,96.1,3.9,79.0,80.28,-0.16,0.1,0.397,0.103
55,133,Jordan Elementary School,60,Storey,16,SOC,,1272175.491989848,1272175.48046875,5886.003482622528,BARBARA JORDAN EL,110.0,automatic,BARBARA JORDAN EL,445,97.8,2.200000000000003,83.0,80.18355603533816,2.8164439646618433,0.35912805969628225,0.35912805969628225,lower SES; academics near expected,JORDAN ELEMENTARY,110.0,fuzzy match,445.0,3759204.0,8447.649438,0.1775425870122345,0.02335456475583867,0.7317073170731707,0.10267100905452539,0.10044857588403658,0.4546249520427026,0.14010679803337994,8447.65,3759204.0,97.8,2.2,83.0,80.18,0.36,0.1,0.455,0.14
56,279,Junkins Elementary School,56,Walker,21,White,,18725317.001691792,18725316.953125,22295.66818110725,JERRY R JUNKINS EL,110.0,automatic,JERRY R JUNKINS EL,571,79.5,20.5,85.0,81.26012926455215,3.7398707354478518,0.47687528585272376,0.47687528585272376,higher SES; academics near expected,JERRY JUNKINS ELEMENTARY,110.0,fuzzy match,571.0,4606846.0,8068.031524,0.16156780455978326,0.21762208067940553,0.7804878048780488,0.1363513267630635,0.1895949426195944,0.47102780471891603,0.14895956566142338,8068.03,4606846.0,79.5,20.5,85.0,81.26,0.48,0.19,0.471,0.149
57,166,Kiest Elementary School,48,Gaston,1,Adams,,3560358.094400385,3560358.1328125,9030.795498013185,EDWIN J KIEST EL,110.0,automatic,EDWIN J KIEST EL,621,94.8,5.200000000000003,78.0,80.3600434499634,-2.360043449963399,-0.30093189696605155,0.30093189696605155,lower SES; academics near expected,KIEST ELEMENTARY,110.0,fuzzy match,621.0,4061008.0,6539.465378,0.09724388636204565,0.055201698513800454,0.6097560975609756,0.08602462752900421,0.07622279243792304,0.3534999919615106,0.09163425694552493,6539.47,4061008.0,94.8,5.2,78.0,80.36,-0.3,0.076,0.353,0.092
58,167,Kleberg Elementary School,69,Seagoville,15,Seagoville,,15470118.989221664,15470118.97265625,19499.916339392108,KLEBERG EL,110.0,automatic,KLEBERG EL,820,89.1,10.900000000000006,83.0,80.69536953775136,2.304630462248639,0.29386612217710945,0.29386612217710945,higher SES; academics near expected,KLEBERG ELEMENTARY,100.0,exact normalized name,820.0,5606482.0,6837.173171,0.1097717915324386,0.11571125265392787,0.7317073170731707,0.08400353924084049,0.11274152209318324,0.42073955430280463,0.09688766538663954,6837.17,5606482.0,89.1,10.9,83.0,80.7,0.29,0.113,0.421,0.097
59,168,Knight Elementary School,55,Rusk,24,North Dallas,,12147350.897211399,12147350.921875,17201.044475694183,OBADIAH KNIGHT EL,110.0,automatic,OBADIAH KNIGHT EL,332,94.9,5.099999999999994,80.0,80.35416053614256,-0.35416053614255816,-0.04515942364262267,0.04515942364262267,lower SES; academics near expected,KNIGHT ELEMENTARY,110.0,fuzzy match,332.0,2835984.0,8542.120482,0.18151804317565448,0.05414012738853497,0.6585365853658537,0.012863684007614918,0.11782908528209472,0.42002731427075407,0.0971908635916347,8542.12,2835984.0,94.9,5.1,80.0,80.35,-0.05,0.118,0.42,0.097
60,169,Kramer Elementary School,47,Franklin,6,Hillcrest,,8219500.938856371,8219501.0,16361.291345344867,ARTHUR KRAMER EL,110.0,automatic,ARTHUR KRAMER EL,474,69.2,30.799999999999997,82.0,81.86606938809882,0.13393061190117805,0.017077648761877926,0.017077648761877926,higher SES; academics near expected,KRAMER ELEMENTARY,110.0,fuzzy match,474.0,3804884.0,8027.181435,0.15984878324684737,0.32696390658174096,0.7073170731707317,0.004831196698346903,0.24340634491429416,0.4335829282087895,0.08233998997259713,8027.18,3804884.0,69.2,30.8,82.0,81.87,0.02,0.243,0.434,0.082
61,170,Lagow Elementary School,352,Young Women's STEAM,17,Spruce,,6665677.023586119,6665677.0,13213.795508571617,RICHARD LAGOW EL,110.0,automatic,RICHARD LAGOW EL,494,93.1,6.900000000000006,79.0,80.46005298491771,-1.4600529849177093,-0.1861730615294588,0.1861730615294588,higher SES; academics near expected,LAGOW ELEMENTARY,110.0,fuzzy match,494.0,3735832.0,7562.412955,0.14029076165475665,0.07324840764331216,0.6341463414634146,0.053199106592901564,0.10676958464903441,0.38721855155908563,0.0967449341238291,7562.41,3735832.0,93.1,6.9,79.0,80.46,-0.19,0.107,0.387,0.097
62,171,Lakewood Elementary School,53,Long,22,Wilson,,20729097.161609344,20729097.19921875,21348.12340500814,LAKEWOOD EL,110.0,automatic,LAKEWOOD EL,915,5.8,94.2,92.0,85.59583675051233,6.404163249487667,0.8166023363588856,0.8166023363588856,higher SES; academics higher than expected,LAKEWOOD ELEMENTARY,100.0,exact normalized name,915.0,6756171.0,7383.793443,0.13277423585149067,1.0,0.9512195121951219,0.2335265670530543,0.5663871179257454,0.5419968740233063,0.1831504014522725,7383.79,6756171.0,5.8,94.2,92.0,85.6,0.82,0.566,0.542,0.183
63,173,Moroles Elementary School,372,West Dallas,12,Pinkston,,7000474.04113622,7000474.0546875,12736.402644659483,SIDNEY LANIER EXPRESSIVE ARTS VANGUARD,100.0,manual alias,SIDNEY LANIER EXPRESSIVE ARTS VANGUARD,637,79.6,20.400000000000006,80.0,81.25424635073131,-1.2542463507313073,-0.15993041721082446,0.15993041721082446,higher SES; academics near expected,,53.333333333333336,unmatched,,,,,0.2165605095541402,0.6585365853658537,0.04569268264547498,,,,,,79.6,20.4,80.0,81.25,-0.16,,,
64,177,Lipscomb Elementary School,53,Long,22,Wilson,,3055728.268050461,3055728.27734375,7905.456029220647,WILLIAM LIPSCOMB EL,110.0,automatic,WILLIAM LIPSCOMB EL,411,72.5,27.5,82.0,81.67193323201106,0.3280667679889433,0.041832176786391506,0.041832176786391506,higher SES; academics near expected,LIPSCOMB ELEMENTARY,110.0,fuzzy match,411.0,3444680.0,8381.216545,0.17474701026460507,0.291932059447983,0.7073170731707317,0.011911961110434214,0.23333953485629405,0.44103204171766835,0.09332948568751964,8381.22,3444680.0,72.5,27.5,82.0,81.67,0.04,0.233,0.441,0.093
65,176,Lowe Sr Elementary School,83,Tasby,28,Conrad,,731316.9208551056,731316.93359375,4340.78908731054,JACK LOWE SR EL,110.0,automatic,JACK LOWE SR EL,556,98.0,2.0,94.0,80.17179020769647,13.828209792303525,1.7632511827301172,1.7632511827301172,lower SES; academics higher than expected,JACK LOWE SR ELEMENTARY,100.0,exact normalized name,556.0,4227077.0,7602.656475,0.14198425780815702,0.021231422505307854,1.0,0.5043052082572481,0.08160784015673243,0.5709921289040785,0.3231447330327026,7602.66,4227077.0,98.0,2.0,94.0,80.17,1.76,0.082,0.571,0.323
66,180,Macon Elementary School,45,Comstock,17,Spruce,,3733158.6097337757,3733158.6015625,9482.768495876307,B H MACON EL,110.0,automatic,B H MACON EL,502,92.2,7.799999999999997,74.0,80.51299920930528,-6.512999209305278,-0.830480136721647,0.830480136721647,higher SES; academics lower than expected,MACON ELEMENTARY,110.0,fuzzy match,502.0,4018427.0,8004.834661,0.15890840388117786,0.0828025477707006,0.5121951219512195,0.23749616141693733,0.12085547582593922,0.3355517629161987,0.1982022826490576,8004.83,4018427.0,92.2,7.8,74.0,80.51,-0.83,0.121,0.336,0.198
67,181,Maple Lawn Elementary School,55,Rusk,24,North Dallas,,31722925.036892258,31722924.99609375,31662.049317615983,MAPLE LAWN EL,110.0,automatic,MAPLE LAWN EL,552,95.7,4.299999999999997,81.0,80.30709722557583,0.6929027744241694,0.08835284211557172,0.08835284211557172,lower SES; academics near expected,MAPLE LAWN ELEMENTARY,100.0,exact normalized name,552.0,4176558.0,7566.228261,0.14045131436075867,0.04564755838641186,0.6829268292682927,0.025218693162173903,0.09304943637358526,0.4116890718145257,0.08283500376146628,7566.23,4176558.0,95.7,4.3,81.0,80.31,0.09,0.093,0.412,0.083
68,182,Marcus Elementary School,54,Marsh,21,White,,2780188.901843281,2780188.9765625,7320.822635911624,HERBERT MARCUS EL,110.0,automatic,HERBERT MARCUS EL,636,96.4,3.5999999999999943,69.0,80.26591682882993,-11.26591682882993,-1.4365302140577678,1.4365302140577678,lower SES; academics lower than expected,,66.66666666666666,unmatched,,,,,0.038216560509554076,0.3902439024390244,0.4108502166950197,,,,,,96.4,3.6,69.0,80.27,-1.44,,,
69,183,Marsalis Elementary School,60,Storey,16,SOC,,9213230.56468442,9213230.60546875,13901.512288195447,THOMAS L MARSALIS EL STEAM ACADEMY,110.0,automatic,THOMAS L MARSALIS EL STEAM ACADEMY,415,91.6,8.400000000000006,83.0,80.54829669223032,2.4517033077696766,0.3126195524987111,0.3126195524987111,higher SES; academics near expected,THOMAS L MARSALIS ELEMENTARY STEAM ACADEMY,100.0,exact normalized name,415.0,3414318.0,8227.272289,0.16826884917496682,0.08917197452229306,0.7317073170731707,0.08936775470454313,0.12872041184862992,0.4499880831240688,0.12881830193975496,8227.27,3414318.0,91.6,8.4,83.0,80.55,0.31,0.129,0.45,0.129
70,264,McNair Elementary School,42,Bedford Law,23,Carter,,7276948.661986797,7276948.64453125,14258.374904329257,RONALD E MCNAIR EL,110.0,automatic,RONALD E MCNAIR EL,419,95.0,5.0,79.0,80.34827762232172,-1.3482776223217172,-0.17192045448504112,0.17192045448504112,lower SES; academics near expected,MCNAIR ELEMENTARY,110.0,fuzzy match,419.0,4090110.0,9761.599045,0.23283518083147342,0.053078556263269634,0.6341463414634146,0.049122302840487436,0.14295686854737152,0.433490761147444,0.14097874183598041,9761.6,4090110.0,95.0,5.0,79.0,80.35,-0.17,0.143,0.433,0.141
71,286,McShan Jr Elementary School,83,Tasby,28,Conrad,,3583959.4980659834,3583959.4375,11479.245242253228,LEE A MCSHAN JR EL,110.0,automatic,LEE A MCSHAN JR EL,534,97.0,3.0,84.0,80.23061934590488,3.769380654095116,0.4806381300486528,0.4806381300486528,lower SES; academics near expected,LEE MCSHAN JR ELEMENTARY,110.0,fuzzy match,534.0,4509508.0,8444.771536,0.1774214814040058,0.03184713375796178,0.7560975609756098,0.13742764755756134,0.10463430758098378,0.4667595211898078,0.15742456448078357,8444.77,4509508.0,97.0,3.0,84.0,80.23,0.48,0.105,0.467,0.157
72,283,Medrano Elementary School,55,Rusk,24,North Dallas,,11988840.443866476,11988840.46484375,20133.237230472627,ESPERANZA MEDRANO EL,110.0,automatic,ESPERANZA MEDRANO EL,345,90.1,9.900000000000006,74.0,80.63654039954295,-6.636540399542952,-0.8462330181917926,0.8462330181917926,higher SES; academics lower than expected,MEDRANO ELEMENTARY,110.0,fuzzy match,345.0,3434868.0,9956.13913,0.24102166366472652,0.10509554140127395,0.5121951219512195,0.2420021024064476,0.17305860253300023,0.37660839280797304,0.24151188303558707,9956.14,3434868.0,90.1,9.9,74.0,80.64,-0.85,0.173,0.377,0.242
73,184,Milam Elementary School,58,Spence,24,North Dallas,,15582726.98938767,15582726.9296875,27300.9721389418,BEN MILAM EL,110.0,automatic,BEN MILAM EL,274,84.7,15.299999999999997,65.0,80.95421774586839,-15.954217745868391,-2.034340940183994,2.034340940183994,higher SES; academics lower than expected,MILAM ELEMENTARY,110.0,fuzzy match,274.0,2571997.0,9386.850365,0.21706530165410862,0.16242038216560506,0.2926829268292683,0.5818474948708307,0.18974284190985685,0.25487411424168843,0.39945639826246965,9386.85,2571997.0,84.7,15.3,65.0,80.95,-2.03,0.19,0.255,0.399
74,185,Miller Elementary School,51,Lewis,13,Roosevelt,,7737604.895442808,7737604.890625,15823.929289407937,WILLIAM B MILLER EL,110.0,automatic,WILLIAM B MILLER EL,254,97.6,2.4000000000000057,76.0,80.19532186297984,-4.195321862979839,-0.5349503911164228,0.5349503911164228,lower SES; academics near expected,MILLER ELEMENTARY,110.0,fuzzy match,254.0,2694677.0,10608.96457,0.26849335032339605,0.025477707006369487,0.5609756097560976,0.1529630811124985,0.14698552866488276,0.41473448003974683,0.21072821571794728,10608.96,2694677.0,97.6,2.4,76.0,80.2,-0.53,0.147,0.415,0.211
75,272,Moreno Elementary School,100,"Holmes, Z",8,Kimball,,3619972.975237493,3619972.96875,10714.323688637918,MARIA MORENO STEAM ACADEMY,110.0,automatic,MARIA MORENO STEAM ACADEMY,338,94.4,5.599999999999994,86.0,80.38357510524676,5.616424894753237,0.7161568986247521,0.7161568986247521,lower SES; academics near expected,MARIA MORENO STEAM ACADEMY,100.0,exact normalized name,338.0,3101186.0,9175.106509,0.20815486326198582,0.059447983014861934,0.8048780487804879,0.2047952383781518,0.1338014231384239,0.5065164560212368,0.2064750508200688,9175.11,3101186.0,94.4,5.6,86.0,80.38,0.72,0.134,0.507,0.206
76,187,Moseley Elementary School,352,Young Women's STEAM,17,Spruce,,14347005.780107146,14347005.828125,22257.524394478958,NANCY MOSELEY EL,110.0,automatic,NANCY MOSELEY EL,655,95.6,4.400000000000006,85.0,80.31298013939667,4.687019860603328,0.5976473771238375,0.5976473771238375,lower SES; academics near expected,MOSELEY ELEMENTARY,110.0,fuzzy match,655.0,4670218.0,7130.103817,0.12209866856044417,0.04670912951167734,0.7804878048780488,0.17089687434930823,0.08440389903606076,0.4512932367192465,0.1464977714548762,7130.1,4670218.0,95.6,4.4,85.0,80.31,0.6,0.084,0.451,0.146
77,188,Mount Auburn Elementary School,53,Long,22,Wilson,,6948281.276215465,6948281.2734375,18254.97929071759,MOUNT AUBURN STEAM ACADEMY,110.0,automatic,MOUNT AUBURN STEAM ACADEMY,516,90.7,9.299999999999997,89.0,80.6012429166179,8.398757083382094,1.070935325914628,1.070935325914628,higher SES; academics higher than expected,MOUNT AUBURN STEAM ACADEMY,100.0,exact normalized name,516.0,4154993.0,8052.312016,0.1609063085889699,0.09872611464968149,0.8780487804878049,0.3062757618461334,0.1298162116193257,0.5194775445383873,0.23359103521755165,8052.31,4154993.0,90.7,9.3,89.0,80.6,1.07,0.13,0.519,0.234
78,233,Nathan Adams Elementary School,56,Walker,21,White,,10398297.965041932,10398297.98828125,15851.279366184493,NATHAN ADAMS EL,110.0,automatic,NATHAN ADAMS EL,426,93.2,6.799999999999997,81.0,80.45417007109687,0.5458299289031316,0.06959941179397008,0.06959941179397008,higher SES; academics near expected,NATHAN ADAMS ELEMENTARY,100.0,exact normalized name,426.0,3095741.0,7266.997653,0.12785932728737015,0.07218683651804668,0.6829268292682927,0.019854477698471273,0.10002308190270842,0.40539307827783144,0.0738569024929207,7267.0,3095741.0,93.2,6.8,81.0,80.45,0.07,0.1,0.405,0.074
79,189,Oliver Elementary School,60,Storey,16,SOC,,6019610.184883026,6019610.19140625,12076.082396352103,CLARA OLIVER EL,110.0,automatic,CLARA OLIVER EL,212,95.8,4.200000000000003,84.0,80.30121431175499,3.6987856882450103,0.47163648349428305,0.47163648349428305,lower SES; academics near expected,OLIVER ELEMENTARY,110.0,fuzzy match,212.0,2343656.0,11054.98113,0.28726226836816104,0.04458598726114653,0.7560975609756098,0.13485282413498378,0.1659241278146538,0.5216799146718853,0.21105754625157241,11054.98,2343656.0,95.8,4.2,84.0,80.3,0.47,0.166,0.522,0.211
80,192,Peeler Elementary School,77,Garcia,2,Adamson,,1297857.4192535551,1297857.41796875,5416.727429962527,JOHN F PEELER EL,110.0,automatic,JOHN F PEELER EL,263,91.6,8.400000000000006,85.0,80.54829669223032,4.451703307769677,0.567641888609276,0.567641888609276,higher SES; academics near expected,PEELER ELEMENTARY,110.0,fuzzy match,263.0,2877448.0,10940.86692,0.28246020394429056,0.08917197452229306,0.7804878048780488,0.1623141296073843,0.1858160892332918,0.5314740044111697,0.22238716677583742,10940.87,2877448.0,91.6,8.4,85.0,80.55,0.57,0.186,0.531,0.222
81,193,Pershing Elementary School,47,Franklin,6,Hillcrest,,21079026.347325806,21079026.33984375,34899.364808024584,JOHN J PERSHING EL,110.0,automatic,JOHN J PERSHING EL,393,91.6,8.400000000000006,86.0,80.54829669223032,5.451703307769677,0.6951530566645584,0.6951530566645584,higher SES; academics near expected,PERSHING ELEMENTARY,110.0,fuzzy match,393.0,3906395.0,9939.936387,0.24033983257875208,0.08917197452229306,0.8048780487804879,0.1987873170588049,0.16475590355052255,0.5226089406796199,0.21956357481877847,9939.94,3906395.0,91.6,8.4,86.0,80.55,0.7,0.165,0.523,0.22
82,273,Pleasant Grove Elementary School,46,Young Men's Leadership,14,Samuell,,3711502.75462085,3711502.72265625,7709.918675181003,PLEASANT GROVE EL,110.0,automatic,PLEASANT GROVE EL,450,96.4,3.5999999999999943,84.0,80.26591682882993,3.73408317117007,0.4761373067714688,0.4761373067714688,lower SES; academics near expected,PLEASANT GROVE ELEMENTARY,100.0,exact normalized name,450.0,3523858.0,7830.795556,0.1515846271623734,0.038216560509554076,0.7560975609756098,0.13614023584627283,0.09490059383596373,0.4538410940689916,0.1438624315043231,7830.8,3523858.0,96.4,3.6,84.0,80.27,0.48,0.095,0.454,0.144
83,194,Polk Elementary School,79,Medrano,7,Jefferson,,20954661.471009165,20954661.49609375,20601.71217528489,K B POLK CENTER FOR ACADEMICALLY TALENTED & GIFTED,100.0,manual alias,K B POLK CENTER FOR ACADEMICALLY TALENTED & GIFTED,444,84.7,15.299999999999997,69.0,80.95421774586839,-11.954217745868391,-1.5242962679628642,1.5242962679628642,higher SES; academics lower than expected,MARK TWAIN SCHOOL FOR THE TALENTED AND GIFTED,80.7017543859649,fuzzy match,158.0,2426891.0,15360.06962,0.4684256158552392,0.16242038216560506,0.3902439024390244,0.43595474506514825,0.31542299901042214,0.4293347591471318,0.4521901804601937,15360.07,2426891.0,84.7,15.3,69.0,80.95,-1.52,0.315,0.429,0.452
84,195,Preston Hollow Elementary School,47,Franklin,6,Hillcrest,,15601690.25116798,15601690.23828125,20111.909417374474,PRESTON HOLLOW EL,110.0,automatic,PRESTON HOLLOW EL,452,76.8,23.200000000000003,81.0,81.41896793771487,-0.41896793771486784,-0.05342309111573562,0.05342309111573562,higher SES; academics near expected,PRESTON HOLLOW ELEMENTARY,100.0,exact normalized name,452.0,3404928.0,7533.026549,0.13905414603258293,0.24628450106157115,0.6829268292682927,0.015227416513401258,0.19266932354707705,0.41099048765043783,0.07714078127299209,7533.03,3404928.0,76.8,23.2,81.0,81.42,-0.05,0.193,0.411,0.077
85,197,Bishop Arts Elementary School,77,Garcia,2,Adamson,,862960.6888672452,862960.703125,3736.0474012304567,JOHN H REAGAN EL,100.0,manual alias,JOHN H REAGAN EL,275,96.7,3.299999999999997,88.0,80.2482680873674,7.751731912632593,0.9884323906311906,0.9884323906311906,lower SES; academics higher than expected,,52.63157894736842,unmatched,,,,,0.03503184713375793,0.8536585365853658,0.28267669150759944,,,,,,96.7,3.3,88.0,80.25,0.99,,,
86,198,Reilly Elementary School,50,Hill,1,Adams,,7157775.9109781645,7157775.9296875,12591.530983686309,MARTHA TURNER REILLY EL,100.0,manual alias,MARTHA TURNER REILLY EL,502,76.7,23.299999999999997,83.0,81.42485085153571,1.5751491484642912,0.20084910778196527,0.20084910778196527,higher SES; academics near expected,REILLY ELEMENTARY,110.0,fuzzy match,502.0,3689752.0,7350.103586,0.13135652578939602,0.2473460721868365,0.7317073170731707,0.0573970305408754,0.18935129898811626,0.4315319214312834,0.0943767781651357,7350.1,3689752.0,76.7,23.3,83.0,81.42,0.2,0.189,0.432,0.094
87,199,Reinhardt Elementary School,48,Gaston,1,Adams,,7894666.516106202,7894666.5078125,11457.766398767166,REINHARDT EL,110.0,automatic,REINHARDT EL,443,90.7,9.299999999999997,87.0,80.6012429166179,6.398757083382094,0.8159129898040631,0.8159129898040631,higher SES; academics higher than expected,REINHARDT ELEMENTARY,100.0,exact normalized name,443.0,3764793.0,8498.404063,0.17967840321829143,0.09872611464968149,0.8292682926829268,0.23332938694329222,0.13920225893398647,0.5044733479506092,0.2065038950807918,8498.4,3764793.0,90.7,9.3,87.0,80.6,0.82,0.139,0.504,0.207
88,307,Thompson Elementary School,62,Dade,9,Lincoln,,13442948.90672927,13442948.9453125,21981.64435471218,H S THOMPSON LEARNING CENTER,110.0,automatic,H S THOMPSON LEARNING CENTER,500,95.8,4.200000000000003,59.0,80.30121431175499,-21.30121431175499,-2.716142717887778,2.716142717887778,lower SES; academics lower than expected,H S THOMPSON ELEMENTARY,100.0,exact normalized name,500.0,3780824.0,7561.648,0.1402585714201543,0.04458598726114653,0.14634146341463414,0.7768695029205147,0.09242227934065042,0.14330001741739423,0.4585640371703345,7561.65,3780824.0,95.8,4.2,59.0,80.3,-2.72,0.092,0.143,0.459
