District,Campus,Region,County,Type,grades_served,Charter,Students,perc_ed,perc_eb_el,overall_score,student_ach_score,school_prog_score,academic_growth_score,relative_perf_score,closing_gap_score,Grant,enroll_type
DALLAS ISD,WILMER-HUTCHINS EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,545,95.4%,42.0%,83,70,85,85,78,77,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,CALLIER CENTER PRE-SCHOOL DEAF (0-5),REGION 10: RICHARDSON,DALLAS,Elementary,EE - EE,No,69,30.4%,13.0%,        .,        .,        .,        .,        .,        .,,SELECTIVE ENROL SCHL-CRITERIA-BASED
DALLAS ISD,THELMA ELIZABETH PAGE RICHARDSON EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,503,93.2%,64.0%,73,69,75,72,75,66,,SELECTIVE ENROL SCHL-CRITERIA-BASED
DALLAS ISD,GEORGE HERBERT WALKER BUSH EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,656,82.5%,40.5%,87,80,93,93,88,94,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,EBBY HALLIDAY EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,602,88.9%,60.8%,82,67,88,88,74,76,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,SOLAR PREPARATORY SCHOOL FOR GIRLS AT BONHAM,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 07,No,671,45.0%,19.7%,82,91,87,83,87,78,,SELECTIVE ENROL SCHL-CRITERIA-BASED
DALLAS ISD,H S THOMPSON LEARNING CENTER,REGION 10: RICHARDSON,DALLAS,Elementary,KG - 05,No,500,95.8%,42.2%,59,47,59,59,49,62,Yes,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,EDDIE BERNICE JOHNSON EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,455,91.4%,41.3%,84,70,88,88,77,75,,SELECTIVE ENROL SCHL-CRITERIA-BASED
DALLAS ISD,PRESTONWOOD MONTESSORI AT E D WALKER,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 02,No,194,53.1%,32.0%,86,        .,        .,        .,        .,        .,,SELECTIVE ENRL SCHL-SPCL PGM-BASED
DALLAS ISD,DALLAS HYBRID PREPARATORY AT STEPHEN J HAY,REGION 10: RICHARDSON,DALLAS,Elementary,04 - 06,No,68,60.3%,25.0%,85,91,91,70,91,72,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,DOWNTOWN MONTESSORI AT IDA B WELLS ACADEMY,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 03,No,268,57.1%,15.7%,77,78,81,        .,81,74,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,MONTESSORI ACADEMY AT ONESIMO HERNANDEZ EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,332,53.6%,50.9%,70,72,66,65,66,69,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,SOLAR PREP FOR BOYS AT JOHN F KENNEDY,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,397,41.8%,21.9%,82,85,86,86,80,100,,SELECTIVE ENROL SCHL-CRITERIA-BASED
